auto
<site abbr.>   <#pages>		<URL>
aol              2000	http://autos.aol.com/
autobytel        2000	http://www.autobytel.com/
automotive       1999	http://www.automotive.com/
autoweb          2000	http://www.autoweb.com/
carquotes        2000	http://www.carquotes.com/
cars              657	http://www.cars.com/
kbb              2000	http://www.kbb.com/
motortrend       1267	http://www.motortrend.com/
msn              2000	http://autos.msn.com/
yahoo            2000	http://autos.yahoo.com/

book
<site abbr.>   <#pages>		<URL>
abebooks         2000	http://www.abebooks.com/
amazon           2000	http://www.amazon.com/
barnesandnoble   2000	http://www.barnesandnoble.com/
bookdepository   2000	http://www.bookdepository.com/
booksamillion    2000	http://www.booksamillion.com/
borders          2000	http://www.borders.com/
buy              2000	http://www.buy.com/
christianbook    2000	http://www.christianbook.com/
deepdiscount     2000	http://www.deepdiscount.com/
waterstones      2000	http://www.waterstones.com/

camera
<site abbr.>   <#pages>		<URL>
amazon           1767	http://www.amazon.com/
beachaudio        247	http://www.beachaudio.com/
buy               500	http://www.buy.com/
compsource        430	http://www.compsource.com/
ecost             923	http://www.ecost.com/
jr                367	http://www.jr.com/
newegg            220	http://www.newegg.com/
onsale            261	http://www.onsale.com/
pcnation          234	http://www.pcnation.com/
thenerds          309	http://www.thenerds.net/

job
<site abbr.>   <#pages>		<URL>
careerbuilder    2000	http://www.careerbuilder.com/
dice             2000	http://www.dice.com/
hotjobs          2000	http://hotjobs.yahoo.com/
job              2000	http://www.job.com/
jobcircle        2000	http://jobcircle.com/
jobtarget        2000	http://jobtargetjobfinder.com/
monster          2000	http://www.monster.com/
nettemps         2000	http://www.net-temps.com/
rightitjobs      2000	http://www.rightitjobs.com/
techcentric      2000	http://www.tech-centric.net/

movie
<site abbr.>   <#pages>		<URL>
allmovie         2000	http://www.allmovie.com/
amctv            2000	http://movies.amctv.com/
boxofficemojo    2000	http://boxofficemojo.com/
hollywood        2000	http://www.hollywood.com/
iheartmovies     2000	http://www.iheartmovies.com/
imdb             2000	http://www.imdb.com/
metacritic       2000	http://www.metacritic.com/
msn              2000	http://movies.msn.com/
rottentomatoes   2000	http://www.rottentomatoes.com/
yahoo            2000	http://movies.yahoo.com/

nbaplayer
<site abbr.>   <#pages>		<URL>
espn              434	http://espn.go.com/
fanhouse          446	http://nba.fanhouse.com/
foxsports         425	http://msn.foxsports.com/
msnca             434	http://sports.ca.msn.com/
nba               434	http://www.nba.com/
si                515	http://sportsillustrated.cnn.com/
slam              423	http://slam.sportsdirectinc.com/
usatoday          436	http://fantasybasketball.usatoday.com/
wiki              420	http://en.wikipedia.org/
yahoo             438	http://sports.yahoo.com/

restaurant
<site abbr.>   <#pages>		<URL>
fodors           2000	http://www.fodors.com/
frommers         2000	http://www.frommers.com/
gayot            2000	http://www.gayot.com/
opentable        2000	http://www.opentable.com/
pickarestaurant  2000	http://www.pickarestaurant.com/
restaurantica    2000	http://www.restaurantica.com/
tripadvisor      2000	http://www.tripadvisor.com/
urbanspoon       2000	http://www.urbanspoon.com/
usdiners         2000	http://www.usdiners.com/
zagat            2000	http://www.zagat.com/

university
<site abbr.>   <#pages>		<URL>
collegeboard     2000	http://www.collegeboard.org/
collegenavigator 2000	http://nces.ed.gov/collegenavigator/
collegeprowler   2000	http://collegeprowler.com/
collegetoolkit   2000	http://www.collegetoolkit.com/
ecampustours     1063	http://www.ecampustours.com/
embark           2000	http://www.embark.com/
matchcollege     2000	http://www.matchcollege.com/
princetonreview   615	http://www.princetonreview.com/
studentaid       2000	http://studentaid2.ed.gov/gotocollege/
usnews           1027	http://www.usnews.com/
